t;teta(t);wr(t);erreur;pwm
9900032;177.48;-215.39;2.52;255.00
9950032;166.71;577.25;13.29;255.00
10000032;195.58;-241.24;-15.58;255.00
10050032;183.51;-215.39;-3.51;255.00
10100032;172.74;603.10;7.26;255.00
10150032;202.90;-258.47;-22.90;255.00
10200032;189.98;-215.39;-9.98;255.00
10250032;179.21;-585.87;0.79;255.00
10300032;149.91;749.57;30.09;255.00
10350032;187.39;-284.32;-7.39;255.00
10400032;173.18;241.24;6.82;255.00
10450032;185.24;-206.78;-5.24;255.00
10500032;174.90;215.39;5.10;255.00
10550032;185.67;-189.55;-5.67;255.00
10600032;176.19;-206.78;3.81;81.30
10650032;165.85;413.55;14.15;255.00
10700032;186.53;-206.78;-6.53;255.00
10750032;176.19;215.39;3.81;255.00
10800032;186.96;-180.93;-6.96;255.00
10850032;177.91;-198.16;2.09;255.00
10900032;168.01;568.64;11.99;255.00
10950032;196.44;-241.24;-16.44;255.00
11000032;184.38;-215.39;-4.38;255.00
11050032;173.61;603.10;6.39;255.00
11100032;203.76;-249.86;-23.76;255.00
11150032;191.27;-206.78;-11.27;255.00
11200032;180.93;-594.48;-0.93;255.00
11250032;151.21;758.18;28.79;255.00
11300032;189.11;-301.55;-9.11;255.00
11350032;174.04;224.01;5.96;255.00
11400032;185.24;-198.16;-5.24;255.00
11450032;175.33;215.39;4.67;255.00
11500032;186.10;-189.55;-6.10;255.00
11550036;176.62;-206.78;3.38;255.00
11600036;166.28;577.25;13.72;255.00
11650036;195.15;-241.24;-15.15;255.00
11700036;183.08;-206.78;-3.08;255.00
11750036;172.75;594.48;7.25;255.00
11800036;202.47;-258.47;-22.47;255.00
11850036;189.55;-215.39;-9.55;255.00
11900036;178.78;-594.48;1.22;255.00
11950036;149.05;758.18;30.95;255.00
12000036;186.96;-301.55;-6.96;255.00
12050036;171.88;224.01;8.12;255.00
12100036;183.08;-189.55;-3.08;255.00
12150036;173.61;198.16;6.39;255.00
12200036;183.51;-189.55;-3.51;255.00
12250036;174.04;206.78;5.96;255.00
12300036;184.38;-180.93;-4.38;255.00
12350036;175.33;198.16;4.67;255.00
12400036;185.24;-206.78;-5.24;255.00
12450036;174.90;189.55;5.10;255.00
12500036;184.38;-198.16;-4.38;255.00
12550036;174.47;189.55;5.53;255.00
12600036;183.95;-206.78;-3.95;255.00
12650036;173.61;189.55;6.39;255.00
12700036;183.08;-198.16;-3.08;255.00
12750036;173.18;198.16;6.82;255.00
12800036;183.08;-189.55;-3.08;255.00
12850036;173.61;206.78;6.39;255.00
12900036;183.95;-180.93;-3.95;255.00
12950036;174.90;189.55;5.10;255.00
13000036;184.38;-198.16;-4.38;255.00
13050036;174.47;198.16;5.53;255.00
13100040;184.38;-189.55;-4.38;255.00
13150040;174.90;198.16;5.10;255.00
13200040;184.81;-198.16;-4.81;255.00
13250040;174.90;189.55;5.10;255.00
13300040;184.38;-189.55;-4.38;255.00
