t;teta(t);wr(t);erreur;pwm
12100024;174.04;34.46;5.96;255.00
12150024;175.76;94.77;4.24;255.00
12200024;180.50;-215.39;-0.50;255.00
12250024;169.73;155.08;10.27;255.00
12300024;177.48;112.00;2.52;255.00
12350024;183.08;-258.47;-3.08;255.00
12400024;170.16;146.47;9.84;255.00
12450024;177.48;120.62;2.52;255.00
12500024;183.51;-224.01;-3.51;255.00
12550024;172.31;137.85;7.69;255.00
12600028;179.21;112.00;0.79;255.00
12650028;184.81;-232.62;-4.81;255.00
12700028;173.18;60.31;6.82;255.00
12750028;176.19;51.69;3.81;255.00
12800028;178.78;215.39;1.22;255.00
12850028;189.55;-292.93;-9.55;255.00
12900028;174.90;120.62;5.10;255.00
12950028;180.93;-112.00;-0.93;255.00
13000028;175.33;17.23;4.67;255.00
13050028;176.19;103.39;3.81;255.00
13100028;181.36;-232.62;-1.36;255.00
13150028;169.73;103.39;10.27;255.00
13200028;174.90;94.77;5.10;255.00
13250028;179.64;224.01;0.36;255.00
13300028;190.84;-301.55;-10.84;255.00
13350028;175.76;120.62;4.24;255.00
13400028;181.79;-112.00;-1.79;255.00
13450028;176.19;43.08;3.81;255.00
13500028;178.35;68.93;1.65;255.00
13550028;181.79;-267.09;-1.79;255.00
13600028;168.44;51.69;11.56;255.00
13650028;171.02;77.54;8.98;255.00
13700028;174.90;249.86;5.10;255.00
13750028;187.39;-258.47;-7.39;255.00
13800028;174.47;137.85;5.53;255.00
13850028;181.36;112.00;-1.36;255.00
13900028;186.96;-224.01;-6.96;255.00
13950028;175.76;129.24;4.24;255.00
14000028;182.22;-112.00;-2.22;255.00
14050028;176.62;51.69;3.38;255.00
14100028;179.21;86.16;0.79;255.00
14150028;183.51;-224.01;-3.51;255.00
14200028;172.31;163.70;7.69;255.00
14250028;180.50;120.62;-0.50;255.00
14300028;186.53;-241.24;-6.53;255.00
14350028;174.47;146.47;5.53;255.00
14400028;181.79;112.00;-1.79;255.00
14450028;187.39;-224.01;-7.39;255.00
14500028;176.19;120.62;3.81;255.00
14550028;182.22;-103.39;-2.22;255.00
14600028;177.05;34.46;2.95;255.00
14650028;178.78;77.54;1.22;255.00
14700028;182.65;-206.78;-2.65;255.00
14750028;172.31;172.31;7.69;255.00
14800028;180.93;120.62;-0.93;255.00
14850028;186.96;-232.62;-6.96;255.00
14900028;175.33;146.47;4.67;255.00
14950028;182.65;-112.00;-2.65;255.00
15000028;177.05;34.46;2.95;255.00
15050028;178.78;112.00;1.22;255.00
15100028;184.38;-215.39;-4.38;255.00
15150028;173.61;155.08;6.39;255.00
15200028;181.36;112.00;-1.36;255.00
15250028;186.96;-232.62;-6.96;255.00
15300028;175.33;51.69;4.67;255.00
15350028;177.91;60.31;2.09;255.00
15400028;180.93;215.39;-0.93;255.00
15450028;191.70;-241.24;-11.70;255.00
15500028;179.64;103.39;0.36;255.00
15550028;184.81;-112.00;-4.81;255.00
15600028;179.21;94.77;0.79;255.00
15650028;183.95;-60.31;-3.95;255.00
15700028;180.93;137.85;-0.93;255.00
15750028;187.82;-34.46;-7.82;255.00
15800028;186.10;-120.62;-6.10;255.00
15850028;180.07;241.24;-0.07;255.00
15900028;192.13;-137.85;-12.13;255.00
15950028;185.24;-120.62;-5.24;255.00
16000028;179.21;241.24;0.79;255.00
16050028;191.27;-155.08;-11.27;255.00
16100028;183.51;-129.24;-3.51;255.00
16150028;177.05;241.24;2.95;255.00
16200028;189.11;-86.16;-9.11;255.00
16250028;184.81;-94.77;-4.81;255.00
16300028;180.07;-232.62;-0.07;255.00
16350028;168.44;258.47;11.56;255.00
16400028;181.36;-129.24;-1.36;255.00
16450028;174.90;94.77;5.10;255.00
16500028;179.64;137.85;0.36;255.00
16550028;186.53;-146.47;-6.53;255.00
16600032;179.21;155.08;0.79;255.00
16650032;186.96;-17.23;-6.96;255.00
16700032;186.10;-86.16;-6.10;255.00
16750032;181.79;-241.24;-1.79;255.00
16800032;169.73;327.40;10.27;255.00
16850032;186.10;-112.00;-6.10;255.00
16900032;180.50;-137.85;-0.50;255.00
16950032;173.61;241.24;6.39;255.00
17000032;185.67;-146.47;-5.67;255.00
17050032;178.35;120.62;1.65;255.00
17100032;184.38;-77.54;-4.38;255.00
17150032;180.50;-68.93;-0.50;255.00
17200032;177.05;258.47;2.95;255.00
17250032;189.98;-17.23;-9.98;255.00
17300032;189.11;-86.16;-9.11;255.00
17350032;184.81;-275.70;-4.81;255.00
17400036;171.02;301.55;8.98;255.00
17450036;186.10;-77.54;-6.10;255.00
17500036;182.22;-120.62;-2.22;255.00
17550036;176.19;258.47;3.81;255.00
17600036;189.11;-68.93;-9.11;255.00
17650036;185.67;-86.16;-5.67;255.00
17700036;181.36;-275.70;-1.36;255.00
17750036;167.58;275.70;12.42;255.00
17800036;181.36;-68.93;-1.36;255.00
17850036;177.91;86.16;2.09;255.00
17900036;182.22;-43.08;-2.22;255.00
17950036;180.07;-103.39;-0.07;255.00
18000036;174.90;292.93;5.10;255.00
18050036;189.55;-94.77;-9.55;255.00
18100036;184.81;-120.62;-4.81;255.00
18150036;178.78;-241.24;1.22;255.00
18200036;166.71;310.17;13.29;255.00
18250036;182.22;-43.08;-2.22;255.00
18300036;180.07;-120.62;-0.07;255.00
18350036;174.04;241.24;5.96;255.00
18400036;186.10;-120.62;-6.10;255.00
18450036;180.07;-103.39;-0.07;255.00
18500036;174.90;292.93;5.10;255.00
18550036;189.55;-103.39;-9.55;255.00
18600036;184.38;-129.24;-4.38;255.00
18650036;177.91;275.70;2.09;255.00
18700036;191.70;-86.16;-11.70;255.00
18750036;187.39;-103.39;-7.39;255.00
18800036;182.22;-292.93;-2.22;255.00
18850036;167.58;310.17;12.42;255.00
18900036;183.08;-103.39;-3.08;255.00
18950036;177.91;-103.39;2.09;224.99
19000036;172.74;232.62;7.26;255.00
19050036;184.38;-120.62;-4.38;255.00
19100036;178.35;-103.39;1.65;255.00
19150044;173.18;310.17;6.82;255.00
19200044;188.68;-94.77;-8.68;255.00
19250044;183.95;-120.62;-3.95;255.00
19300044;177.91;-258.47;2.09;92.05
19350044;164.99;318.78;15.01;255.00
19400044;180.93;-43.08;-0.93;255.00
19450044;178.78;-112.00;1.22;255.00
19500044;173.18;258.47;6.82;255.00
19550044;186.10;-137.85;-6.10;255.00
19600044;179.21;-137.85;0.79;255.00
19650044;172.31;275.70;7.69;255.00
19700044;186.10;-77.54;-6.10;255.00
19750044;182.22;-94.77;-2.22;255.00
19800044;177.48;267.09;2.52;255.00
19850044;190.84;-120.62;-10.84;255.00
19900044;184.81;-146.47;-4.81;255.00
19950044;177.48;275.70;2.52;255.00
20000044;191.27;-68.93;-11.27;255.00
20050044;187.82;-103.39;-7.82;255.00
20100044;182.65;-267.09;-2.65;255.00
20150044;169.30;344.63;10.70;255.00
20200044;186.53;-103.39;-6.53;255.00
20250044;181.36;-137.85;-1.36;255.00
20300044;174.47;292.93;5.53;255.00
20350044;189.11;-68.93;-9.11;255.00
20400044;185.67;-120.62;-5.67;255.00
20450044;179.64;-258.47;0.36;255.00
20500044;166.71;318.78;13.29;255.00
20550044;182.65;-112.00;-2.65;255.00
20600044;177.05;137.85;2.95;255.00
20650044;183.95;-8.62;-3.95;255.00
20700044;183.51;-120.62;-3.51;255.00
20750044;177.48;-241.24;2.52;255.00
20800044;165.42;327.40;14.58;255.00
20850044;181.79;-94.77;-1.79;255.00
20900044;177.05;137.85;2.95;255.00
20950044;183.95;-155.08;-3.95;255.00
21000048;176.19;146.47;3.81;255.00
21050048;183.51;-112.00;-3.51;255.00
21100048;177.91;-94.77;2.09;1.12
21150048;173.18;129.24;6.82;255.00
21200048;179.64;-94.77;0.36;255.00
21250056;174.90;94.77;5.10;255.00
21300056;179.64;-103.39;0.36;255.00
21350056;174.47;120.62;5.53;255.00
21400056;180.50;-86.16;-0.50;255.00
21450056;176.19;146.47;3.81;255.00
21500056;183.51;-43.08;-3.51;255.00
21550056;181.36;-112.00;-1.36;255.00
21600056;175.76;241.24;4.24;255.00
21650056;187.82;-146.47;-7.82;255.00
21700056;180.50;-112.00;-0.50;255.00
21750056;174.90;241.24;5.10;255.00
21800056;186.96;-112.00;-6.96;255.00
21850056;181.36;-120.62;-1.36;255.00
21900056;175.33;241.24;4.67;255.00
