Time,X(CH1),
Second,Volt,
1.4400019e-04,8.72000e+00,
1.4800020e-04,8.88000e+00,
1.5200020e-04,8.88000e+00,
1.5600020e-04,9.04000e+00,
1.6000020e-04,9.04000e+00,
1.6400020e-04,9.20000e+00,
1.6800020e-04,9.20000e+00,
1.7200020e-04,9.36000e+00,
1.7600021e-04,9.28000e+00,
1.8000021e-04,9.36000e+00,
1.8400021e-04,9.36000e+00,
1.8800021e-04,9.52000e+00,
1.9200021e-04,9.52000e+00,
1.9600021e-04,9.52000e+00,
2.0000021e-04,9.52000e+00,
2.0400021e-04,9.60000e+00,
2.0800022e-04,9.60000e+00,
2.1200022e-04,9.68000e+00,
2.1600022e-04,9.60000e+00,
2.2000022e-04,9.68000e+00,
2.2400022e-04,9.68000e+00,
2.2800022e-04,9.68000e+00,
2.3200022e-04,9.68000e+00,
2.3600023e-04,9.76000e+00,
2.4000023e-04,9.76000e+00,
2.4400023e-04,9.68000e+00,
2.4800023e-04,9.76000e+00,
2.5200023e-04,9.84000e+00,
2.5600023e-04,9.76000e+00,
2.6000023e-04,9.84000e+00,
2.6400023e-04,9.76000e+00,
2.6800024e-04,9.84000e+00,
2.7200024e-04,9.84000e+00,
2.7600024e-04,9.68000e+00,
2.8000024e-04,9.76000e+00,
2.8400024e-04,9.84000e+00,
2.8800024e-04,9.84000e+00,
2.9200024e-04,9.76000e+00,
2.9600025e-04,9.84000e+00,
3.0000025e-04,9.76000e+00,
3.0400025e-04,9.84000e+00,
3.0800025e-04,9.84000e+00,
3.1200025e-04,9.84000e+00,
3.1600025e-04,9.84000e+00,
3.2000025e-04,9.84000e+00,
3.2400026e-04,9.84000e+00,
3.2800026e-04,9.84000e+00,
3.3200026e-04,9.84000e+00,
3.3600026e-04,9.84000e+00,
3.4000026e-04,9.84000e+00,
3.4400026e-04,9.84000e+00,
3.4800026e-04,9.92000e+00,
3.5200026e-04,9.84000e+00,
3.5600027e-04,9.92000e+00,
3.6000027e-04,9.84000e+00,
3.6400027e-04,9.84000e+00,
3.6800027e-04,9.84000e+00,
3.7200027e-04,9.84000e+00,
3.7600027e-04,9.92000e+00,
3.8000027e-04,9.76000e+00,
3.8400028e-04,9.84000e+00,
3.8800028e-04,9.84000e+00,
3.9200028e-04,9.84000e+00,
3.9600028e-04,9.84000e+00,
4.0000028e-04,9.84000e+00,
4.0400028e-04,9.76000e+00,
4.0800028e-04,9.84000e+00,
4.1200028e-04,9.76000e+00,
4.1600029e-04,9.76000e+00,
4.2000029e-04,9.68000e+00,
4.2400029e-04,9.76000e+00,
4.2800029e-04,9.84000e+00,
4.3200029e-04,9.84000e+00,
4.3600029e-04,1.00000e+01,
4.4000029e-04,9.84000e+00,
4.4400030e-04,9.92000e+00,
4.4800030e-04,9.92000e+00,
4.5200030e-04,9.84000e+00,
4.5600030e-04,9.92000e+00,
4.6000030e-04,9.84000e+00,
4.6400030e-04,9.92000e+00,
4.6800030e-04,9.84000e+00,
4.7200031e-04,9.92000e+00,
4.7600031e-04,9.84000e+00,
4.8000031e-04,9.84000e+00,
4.8400031e-04,9.92000e+00,
4.8800031e-04,9.84000e+00,
4.9200031e-04,9.92000e+00,
4.9600028e-04,9.84000e+00,
5.0000026e-04,9.84000e+00,
5.0400023e-04,9.92000e+00,
5.0800020e-04,9.84000e+00,
5.1200017e-04,9.84000e+00,
5.1600015e-04,9.84000e+00,
5.2000012e-04,9.92000e+00,
5.2400009e-04,9.84000e+00,
5.2800006e-04,9.84000e+00,
5.3200003e-04,9.92000e+00,
5.3600001e-04,9.84000e+00,
5.3999998e-04,9.92000e+00,
5.4399995e-04,9.84000e+00,
5.4799992e-04,9.92000e+00,
5.5199990e-04,9.92000e+00,
5.5599987e-04,9.92000e+00,
5.5999984e-04,9.84000e+00,
5.6399981e-04,9.92000e+00,
5.6799978e-04,9.92000e+00,
5.7199976e-04,9.84000e+00,
5.7599973e-04,9.84000e+00,
5.7999970e-04,1.00000e+01,
5.8399967e-04,9.92000e+00,
5.8799965e-04,9.84000e+00,
5.9199962e-04,9.92000e+00,
5.9599959e-04,9.84000e+00,
5.9999956e-04,9.84000e+00,
6.0399954e-04,9.92000e+00,
6.0799951e-04,9.92000e+00,
6.1199948e-04,9.84000e+00,
6.1599945e-04,9.84000e+00,
6.1999942e-04,1.00000e+01,
6.2399940e-04,9.92000e+00,
6.2799937e-04,1.00000e+01,
6.3199934e-04,9.84000e+00,
6.3599931e-04,9.92000e+00,
6.3999929e-04,9.84000e+00,
6.4399926e-04,9.92000e+00,
6.4799923e-04,9.92000e+00,
6.5199920e-04,9.84000e+00,
6.5599917e-04,9.92000e+00,
6.5999915e-04,9.92000e+00,
6.6399912e-04,1.00000e+01,
6.6799909e-04,9.84000e+00,
6.7199906e-04,1.00000e+01,
6.7599904e-04,9.92000e+00,
6.7999901e-04,1.00000e+01,
6.8399898e-04,9.84000e+00,
6.8799895e-04,9.92000e+00,
6.9199892e-04,9.84000e+00,
6.9599890e-04,9.84000e+00,
6.9999887e-04,1.00000e+01,
7.0399884e-04,9.92000e+00,
7.0799881e-04,9.84000e+00,
7.1199879e-04,9.92000e+00,
7.1599876e-04,9.84000e+00,
7.1999873e-04,9.84000e+00,
7.2399870e-04,1.00000e+01,
7.2799867e-04,1.00000e+01,
7.3199865e-04,9.84000e+00,
7.3599862e-04,9.84000e+00,
7.3999859e-04,1.00000e+01,
7.4399856e-04,9.92000e+00,
7.4799854e-04,9.84000e+00,
7.5199851e-04,1.00000e+01,
7.5599848e-04,9.84000e+00,
7.5999845e-04,9.92000e+00,
7.6399843e-04,9.84000e+00,
7.6799840e-04,9.92000e+00,
7.7199837e-04,9.92000e+00,
7.7599834e-04,9.92000e+00,
7.7999831e-04,1.00000e+01,
7.8399829e-04,9.84000e+00,
7.8799826e-04,1.00000e+01,
7.9199823e-04,9.92000e+00,
7.9599820e-04,9.84000e+00,
7.9999818e-04,9.92000e+00,
8.0399815e-04,9.92000e+00,
8.0799812e-04,9.84000e+00,
8.1199809e-04,1.00000e+01,
8.1599806e-04,9.92000e+00,
8.1999804e-04,9.92000e+00,
8.2399801e-04,1.00000e+01,
8.2799798e-04,9.84000e+00,
8.3199795e-04,9.92000e+00,
